Date,DIA,TLT,CASH,DIA_CHOICE,TLT_CHOICE,CASH_CHOICE,DateCopy,B_FREQ,DIA_LEN,DIA_LEX,DIA_NUL,DIA_R,TLT_LEN,TLT_LEX,TLT_NUL,TLT_R,CASH_LEN,CASH_LEX,CASH_NUL,CASH_R,ALL_R,DETREND_ALL_R,I,DETREND_I
2017-10-17,0.0017436505640564537,0.0012723786346906518,0.0,1.0,0.0,0.0,2017-10-17,both,True,False,1.0,0.0017436505640564537,False,True,0.0,0.0,False,True,0.0,0.0,0.0017436505640564537,0.0027812253988896973,1.3195378026848368,0.8306118400134598
2017-10-18,0.007004453164145996,-0.006591680205475292,0.0,1.0,0.0,0.0,2017-10-18,both,True,False,1.0,0.007004453164145996,False,True,0.0,-0.0,False,True,0.0,0.0,0.007004453164145996,0.01415046849638446,1.328780443422063,0.8423653866882942
2017-10-19,0.0008205228260997899,0.0017589403027920003,0.0,1.0,0.0,0.0,2017-10-19,both,True,False,1.0,0.0008205228260997899,False,True,0.0,0.0,False,True,0.0,0.0,0.0008205228260997899,0.0007861731944971417,1.3298707381067658,0.8430276317752807
2017-10-20,0.007184892517915209,-0.010613660570419348,0.0,1.0,0.0,0.0,2017-10-20,both,True,False,1.0,0.007184892517915209,False,True,0.0,-0.0,False,True,0.0,0.0,0.007184892517915209,0.01444612587345051,1.3394257164227834,0.8552061150587034
2017-10-23,-0.002058920701170419,0.0017746220762144826,0.0,1.0,0.0,0.0,2017-10-23,both,True,False,1.0,-0.002058920701170419,False,True,0.0,0.0,False,True,0.0,0.0,-0.002058920701170419,-0.005347325131375924,1.3366679450875605,0.8506330499071436
2017-10-24,0.0070491477777430145,-0.006199780667858201,0.0,1.0,0.0,0.0,2017-10-24,both,True,False,1.0,0.0070491477777430145,False,True,0.0,-0.0,False,True,0.0,0.0,0.0070491477777430145,0.014104870407416037,1.3460903149622547,0.8626311188403489
2017-10-25,-0.004823024219377081,-0.00478032444257992,0.0,1.0,0.0,0.0,2017-10-25,both,True,False,1.0,-0.004823024219377081,False,True,0.0,-0.0,False,True,0.0,0.0,-0.004823024219377081,-0.011191118318199522,1.339598088771723,0.8529773119244457
2017-10-26,0.0029593784964527803,-0.0033376179263586714,0.0,1.0,0.0,0.0,2017-10-26,both,True,False,1.0,0.0029593784964527803,False,True,0.0,-0.0,False,True,0.0,0.0,0.0029593784964527803,0.0053605732930930294,1.3435624665495232,0.8575497593223622
2017-10-27,0.0013683413958411883,0.0066161943721316785,0.0,1.0,0.0,0.0,2017-10-27,both,True,False,1.0,0.0013683413958411883,False,True,0.0,0.0,False,True,0.0,0.0,0.0013683413958411883,0.0019592058419832803,1.3454009186904015,0.8592298758206179
2017-10-30,-0.003587074460589146,0.009574728049584147,0.0,1.0,0.0,0.0,2017-10-30,both,True,False,1.0,-0.003587074460589146,False,True,0.0,0.0,False,True,0.0,0.0,-0.003587074460589146,-0.008597200542902472,1.340574865415714,0.851842904265735
