,lookback,frequency,ShortTermWeight,LongTermWeight,RSI_weight,v_ratio_weight,Z_weight,TotalAnnReturn,CAGR,sharpe,volatility,p_val
384,25,3W-FRI-100%,1,3,1,0,0,0.134143108,0.0871,0.467828966,0.257631803,0.35042
427,25,4W-FRI-100%,3,2,2,0,0,0.13598149,0.0879,0.467727327,0.261668174,0.27338
426,25,4W-FRI-100%,3,2,1,0,0,0.130743981,0.0855,0.458561967,0.26204979,0.28932
131,15,1W-FRI-100%,3,2,3,0,0,0.139995636,0.0897,0.458000747,0.283432084,0.30762
130,15,1W-FRI-100%,3,2,2,0,0,0.136922207,0.0883,0.453362908,0.283342093,0.30356
114,15,1W-FRI-100%,1,3,1,0,0,0.129217589,0.0848,0.450088008,0.270484137,0.26712
302,20,4W-FRI-100%,1,2,3,0,0,0.128180621,0.0843,0.449425259,0.2691167,0.4174
299,20,4W-FRI-100%,1,1,3,0,0,0.129558933,0.0849,0.448659907,0.273295493,0.29688
129,15,1W-FRI-100%,3,2,1,0,0,0.133218542,0.0866,0.447675227,0.28325584,0.29448
314,20,4W-FRI-100%,2,3,3,0,0,0.127155045,0.0838,0.447634348,0.269035798,0.39702
309,20,4W-FRI-100%,2,2,1,0,0,0.126415414,0.0835,0.446286989,0.268936681,0.4767
321,20,4W-FRI-100%,3,3,1,0,0,0.126415414,0.0835,0.446286989,0.268936681,0.47718
322,20,4W-FRI-100%,3,3,2,0,0,0.126415414,0.0835,0.446286989,0.268936681,0.48
395,25,3W-FRI-100%,2,3,3,0,0,0.120390867,0.0806,0.44521203,0.255492282,0.1727
381,25,3W-FRI-100%,1,2,1,0,0,0.121253472,0.081,0.444010522,0.259221898,0.2072
405,25,4W-FRI-100%,1,1,1,0,0,0.121394501,0.0811,0.442153041,0.26230455,0.41246
418,25,4W-FRI-100%,2,2,2,0,0,0.121394501,0.0811,0.442153041,0.26230455,0.41148
431,25,4W-FRI-100%,3,3,3,0,0,0.121394501,0.0811,0.442153041,0.26230455,0.4103
264,20,2W-FRI-100%,3,2,1,0,0,0.119960131,0.0804,0.44030077,0.260788214,0.50964
265,20,2W-FRI-100%,3,2,2,0,0,0.119960131,0.0804,0.44030077,0.260788214,0.50658
313,20,4W-FRI-100%,2,3,2,0,0,0.122170486,0.0814,0.439546237,0.268389646,0.40174
111,15,1W-FRI-100%,1,2,1,0,0,0.12208299,0.0814,0.438159516,0.27027575,0.27192
245,20,2W-FRI-100%,1,1,3,0,0,0.118682271,0.0797,0.436531582,0.263081891,0.32594
119,15,1W-FRI-100%,2,1,3,0,0,0.125619754,0.0831,0.434463176,0.285408829,0.33638
118,15,1W-FRI-100%,2,1,2,0,0,0.123491069,0.0821,0.431280216,0.284915508,0.33218
298,20,4W-FRI-100%,1,1,2,0,0,0.118887275,0.0798,0.430649309,0.273394351,0.37322
38,10,2W-FRI-100%,2,1,3,0,0,0.117512861,0.0792,0.426219112,0.276159007,0.31096
266,20,2W-FRI-100%,3,2,3,0,0,0.111881666,0.0764,0.42548113,0.260837591,0.50366
115,15,1W-FRI-100%,1,3,2,0,0,0.10893122,0.0749,0.415011027,0.270057695,0.3354
113,15,1W-FRI-100%,1,2,3,0,0,0.107662937,0.0743,0.412470465,0.270463787,0.38272
378,25,3W-FRI-100%,1,1,1,0,0,0.103855271,0.0723,0.410642136,0.260568103,0.28958
